content,sentiment
responsibility   terkait pengaduan masalah koneksi cepat di tangani dan diperbaiki oleh teknisi 1   jam  sangat memuaskan  ,1
data indihome bocor diem bae  wifi rusak sinyal ga dpt malah disuruh restart modem  ngasih solusi tapi berasa ngomong kyk robot  batu semua karyawan nya  tapi klo soal harga naik  gembar gembornya ga main main ,-1
kalo laporan gangguan tau2 laporan di aplikasi udah selesai  padahal teknisi ga ada yang datang satu pun ,-1
aplikasinya bagus kita bisa tahu tagihan internet wifi dan dapat poin lagi,1
layanan mantap  ramah  dan cepat  bangga pake indihome ,1
setelah update  tidak bisa dibuka  kode verifikasi juga error terus,-1
untung belum langganan  baru download aplikasinya saja udah se jelek ini   ,-1
error  tidak bisa masuk akun alasan peningkatan pelayanan,-1
awal pasang internetnya ngebut bgt  buat apa pun lancar  tp cuma awalnya aja  lama2 lelet bgt  dikit2 gangguan  aplikasi my indihome jg sering gak bisa dibuka  dikit2 peningkata pelayanan  tp kok gak ada peningkatan,-1
apa aplikasi ini masih berguna kenapa saya login untuk pengaduan internet yang tidak berfungsi malah tidak bisa saya sudah membayar tapi internet tidak bisa di gunakan,-1
aplikasi yang tidak berjalan sebagaimana mestinya  diminta update password tapi kode otp nya tidak bisa digunakan sama sekali  baik melalui wa atau sms semua kode nya eror  tolong diperbaiki kekeliruan ini ,-1
ga ada updatan sama sekali  dan skrng ga bisa di akses  aplikasi macam apa inj,-1
lelet buka isolirnya jika terlambat bayar atau bayar pas tanggal    status myindihome tagihan sdh terbayar atau tunggakan 0  tapi dibawahnya tertera  segera lunasi tunggakan  anda sehat     bagaimana nih sistem informasinya  apa masih pake cek manual satu2 pake excel  perusahaan digital yg katanya terbesar masih unreal time ,-1
aplikasi my indihome memang mantap      josss      bisa memudahkan dalam pembayaran tiap bulannya dan ada beberapa promo yg dapat menguntungkan pelanggan    sukses selalu indihome     ,1
setelah update malah tdk bisa kebuka jaringan sering lag padhl pembayaran tdk pernah ngaret alias sll tpt wkt    ,-1
sangat membantu dalam hal pekerjaan apalagi yang menggunakan sosial media atau media online lain nya   jaringan juga lumayan lancar,1
katanya password buat login kadaluarsa  suruh ganti tapi pas diganti malah kesalahan jaringan teruss   maunya gimana sihhh   ,-1
versi baru kurang bagus masih lebih bagus versi lama  utk versi lama sdh lengkap dan versi baru sya yakin pengguna lbh bnyk suka yg lama  maaf kami selama ini gk pernah dpt poin gmn cara dpatinnya utk pembayaran tdk pernah terlambat ,-1
berbulan bulan ga bisa login di akun sendiri  sudah diupgrade berkali kali dahlah uninstall aja ,-1
sdh bisa login  dan semoga makin ringan lagi utk aplikasinya,1
selamat malam  saya mau tanya kenapa aplikasinya punya indihome tidak bisa di buka di akses  mohon bantuannya segera lah    ,-1
buka aplikasinya aja lemot  pantes aja jaringan internet telkom super lemot juga  mau bergenti langganan banget sumpah gak betah,-1
mahal doang bayar tagihan nya  perbaikan nya kurang cepat     internet nya lemot jasa   lah,-1
aplikasi nya payah  sering error  sering log out sendiri  sering gak bisa masuk  mau ngecek tagihan aja susah nya minta ampun    udah 4 tahun pake myindihome aplikasi nya gak ada perkembangan   ,-1
apaan di tiba2 minta gnti passwrd krna kadaluarsa  eh stelah gnti malah perbaikian layanan  gajelass banget ni aplikasi  blm lagi klw dh gngguan  jelek amat pelayanan ny,-1
ini gimana sih  tiap bulan masak minta masuk lagi  log in lagi  udah gitu katanya password kadaluarsa dan harus verìfikasi no  hp  udah dikirim no otp di hp  tulisannya  jaringan eror  lah   kode otp kadaluarsa  lah  gitu terus sampe    gak guna,-1
mau login masa gabisa  jaringan jelek katanya  padahal pake wifi indihome itu sendiri  anehh,-1
aplikasi sangat membatu dan tdk ribet   untuk promo kalau blh di daerah saya donk di masukan,1
coba login tpi ga bisa  selalu infonya kalau aplikasi sedang dalam peningkatan  padahal mau cek pembayaran dan lain lainnya ,-1
sampai saat ini saya belum juga bisa login ke aplikasi myindihome  selalu lagi dalam perbaikan,-1
tangan sy yg salah tekan atau apk nya yg buruk  berkali kali input kode yg diminta tdk sukses juga masuk    rugi pulsa sms  ,1
parah aplikasinya setelah di update malah ga bisa liat penggunaannya   ,-1
aplikasi buruk   setiap mendekati tggl    tggl pembayaran indihome saya  selalu ada perbaikan aplikasi  dan itu berulang kali trjadi  tapi jika saya buka di awal bulan atau tggl yg masih jauh untuk pembayaran indihome saya  aplikasinya baik2 saja trus untuk apa poin my indihome saya               tahun lalu masih bisa saya tukarkan dengan potongan tagihan indihome  tapi kalau aplikasinya selalu maintenance bagaimana saya bisa menggunakan poin saya       sorry bintang 1  ,-1
aturan single login menyusahkan   hadeh   ngga usah segitu²nya pak   bahkan gmail aja ngga seperti itu   jangan menyulitkan masyarakat    byk org yg instal lebih dari 1 device jadi malas kalau tiap login kudu masukin password lagi   hanya buat cek kuota    macam aplikasi bank yg isinya duit aja   lebay     maaf  kritik ini demi kemajuan developer indihome   login aja tambah susah bgt sih skrg   password kadaluarsa   lebay bgt   email saya puluhan tahun ngga pernah kadaluarsa  ,-1
rusak truss app mau bayar tagugan app gk bisa di buka  minta ganti sandi  semengra proses ehhhh sedang peningkatan layanan  app gak matang sekali off line aja,-1
ribet dan lemot         kalau bukan app terbaru tidak mau masuk  padahal banyak bug sana sini  terus tiap kali di update harus login lagi,-1
aplikasi luar biasa   memudahkan menjemput hiburan visual yang ga ada duanya  makin jaya dan banyak programnya untuk indihome       juaraaaa,1
penanganan dan respon setiap ada gangguan selalu cepat   dan dapat poin juga,1
aneh banget aplikasi nya selalu ad masalah  mana login nya ribet mnta verfikasi segala mcm bnyak tingkah sekali ini indihome  kualitas sinyal jga mengecewakan  andai ada jaringan lain udh ga saya pake ini indihome sangat mengecewakan sekali,-1
nggak bagus aplikasinya stiap mau msuk sllu mhon maaf kami sedang melakukan peningkatan trus  kpan jdix terus kpan bisa buka  pokox nggak bgus aplikasinya   mhon maaf  ,-1
