,userName,score,at,content,sentiment,review_tokens,review_tokens_fdist,review_tokens_WSW,review_normalized,review_tokens_stemmed
0,Zaid Al Ichwan,1,2022-08-23 13:29:56,call center payah dan aplikasi tidak membantu perihal permasalahan saya sy sudah byr tagihan di tgl bukti pembayaran sudah saya lampirkan uplod via email yg dikirimkan dari indihome tlp berkali kali ke sudah hri gk ada solusi nya hny selalu bilang akn segera follow ke tim terkait trs payaaaaah,-1,"['call', 'center', 'payah', 'dan', 'aplikasi', 'tidak', 'membantu', 'perihal', 'permasalahan', 'saya', 'sy', 'sudah', 'byr', 'tagihan', 'di', 'tgl', 'bukti', 'pembayaran', 'sudah', 'saya', 'lampirkan', 'uplod', 'via', 'email', 'yg', 'dikirimkan', 'dari', 'indihome', 'tlp', 'berkali', 'kali', 'ke', 'sudah', 'hri', 'gk', 'ada', 'solusi', 'nya', 'hny', 'selalu', 'bilang', 'akn', 'segera', 'follow', 'ke', 'tim', 'terkait', 'trs', 'payaaaaah']",<FreqDist with 45 samples and 49 outcomes>,"['call', 'center', 'payah', 'aplikasi', 'membantu', 'perihal', 'permasalahan', 'byr', 'tagihan', 'tgl', 'bukti', 'pembayaran', 'lampirkan', 'uplod', 'via', 'email', 'dikirimkan', 'indihome', 'tlp', 'berkali', 'hri', 'solusi', 'akn', 'tim', 'terkait', 'trs', 'payaaaaah']","['call', 'center', 'payah', 'aplikasi', 'membantu', 'perihal', 'permasalahan', 'byr', 'tagihan', 'tgl', 'bukti', 'pembayaran', 'lampirkan', 'uplod', 'via', 'email', 'dikirimkan', 'indihome', 'tlp', 'berkali', 'hri', 'solusi', 'akn', 'tim', 'terkait', 'trs', 'payaaaaah']","['call', 'center', 'payah', 'aplikasi', 'bantu', 'perihal', 'masalah', 'byr', 'tagih', 'tgl', 'bukti', 'bayar', 'lampir', 'uplod', 'via', 'email', 'kirim', 'indihome', 'tlp', 'kali', 'hri', 'solusi', 'akn', 'tim', 'kait', 'trs', 'payaaaaah']"
1,Insan Muhamad,1,2022-08-23 13:19:11,vision gak bisa digunakan bufering terus apknyamending putus berlangganan indihomebayar mahal gak bisa nonton mnc group,-1,"['vision', 'gak', 'bisa', 'digunakan', 'bufering', 'terus', 'apknyamending', 'putus', 'berlangganan', 'indihomebayar', 'mahal', 'gak', 'bisa', 'nonton', 'mnc', 'group']",<FreqDist with 14 samples and 16 outcomes>,"['vision', 'bufering', 'apknyamending', 'putus', 'berlangganan', 'indihomebayar', 'mahal', 'nonton', 'mnc', 'group']","['vision', 'bufering', 'apknyamending', 'putus', 'berlangganan', 'indihomebayar', 'mahal', 'nonton', 'mnc', 'group']","['vision', 'bufering', 'apknyamending', 'putus', 'langgan', 'indihomebayar', 'mahal', 'nonton', 'mnc', 'group']"
2,ahmad ramadhani,5,2022-08-23 13:16:41,loadingnya masih agak lama tolong tambahin juga fasilitas untuk ubah nama wifi dan password di aplikasi bisa,1,"['loadingnya', 'masih', 'agak', 'lama', 'tolong', 'tambahin', 'juga', 'fasilitas', 'untuk', 'ubah', 'nama', 'wifi', 'dan', 'password', 'di', 'aplikasi', 'bisa']",<FreqDist with 17 samples and 17 outcomes>,"['loadingnya', 'tolong', 'tambahin', 'fasilitas', 'ubah', 'nama', 'wifi', 'password', 'aplikasi']","['loadingnya', 'tolong', 'tambahin', 'fasilitas', 'ubah', 'nama', 'wifi', 'password', 'aplikasi']","['loadingnya', 'tolong', 'tambahin', 'fasilitas', 'ubah', 'nama', 'wifi', 'password', 'aplikasi']"
3,agoez shinoeza,1,2022-08-23 13:16:13,makin diupdate makin susah login,-1,"['makin', 'diupdate', 'makin', 'susah', 'login']",<FreqDist with 4 samples and 5 outcomes>,"['diupdate', 'susah', 'login']","['diupdate', 'susah', 'login']","['diupdate', 'susah', 'login']"
4,Aden Winardi,1,2022-08-23 13:11:58,selalu tidak bisa log in nilai ppn dan biaya adm nya berubahubah kayak nilai saham semoga kedepannya tidak lagi sinyal lemot,-1,"['selalu', 'tidak', 'bisa', 'log', 'in', 'nilai', 'ppn', 'dan', 'biaya', 'adm', 'nya', 'berubahubah', 'kayak', 'nilai', 'saham', 'semoga', 'kedepannya', 'tidak', 'lagi', 'sinyal', 'lemot']",<FreqDist with 19 samples and 21 outcomes>,"['log', 'nilai', 'ppn', 'biaya', 'adm', 'berubahubah', 'nilai', 'saham', 'semoga', 'kedepannya', 'sinyal', 'lemot']","['log', 'nilai', 'ppn', 'biaya', 'adm', 'berubahubah', 'nilai', 'saham', 'semoga', 'kedepannya', 'sinyal', 'lemot']","['log', 'nilai', 'ppn', 'biaya', 'adm', 'berubahubah', 'nilai', 'saham', 'moga', 'depan', 'sinyal', 'lot']"
5,Agusman Ransetyo,5,2022-08-23 12:38:10,pelayanan customer service baik dan ramah,1,"['pelayanan', 'customer', 'service', 'baik', 'dan', 'ramah']",<FreqDist with 6 samples and 6 outcomes>,"['pelayanan', 'customer', 'service', 'ramah']","['pelayanan', 'customer', 'service', 'ramah']","['layan', 'customer', 'service', 'ramah']"
6,nita doankz,2,2022-08-23 11:58:52,sering di perbaharui aplikasi tapi tidak ada fitur baru yang di tambahkan saran adakan fitur untuk putuskan langsung perangkat yang tidak di kenaliyang terhubung di wifi kita,-1,"['sering', 'di', 'perbaharui', 'aplikasi', 'tapi', 'tidak', 'ada', 'fitur', 'baru', 'yang', 'di', 'tambahkan', 'saran', 'adakan', 'fitur', 'untuk', 'putuskan', 'langsung', 'perangkat', 'yang', 'tidak', 'di', 'kenaliyang', 'terhubung', 'di', 'wifi', 'kita']",<FreqDist with 21 samples and 27 outcomes>,"['perbaharui', 'aplikasi', 'fitur', 'tambahkan', 'saran', 'adakan', 'fitur', 'putuskan', 'perangkat', 'kenaliyang', 'terhubung', 'wifi']","['perbaharui', 'aplikasi', 'fitur', 'tambahkan', 'saran', 'adakan', 'fitur', 'putuskan', 'perangkat', 'kenaliyang', 'terhubung', 'wifi']","['baharu', 'aplikasi', 'fitur', 'tambah', 'saran', 'adakan', 'fitur', 'putus', 'perangkat', 'kenaliyang', 'hubung', 'wifi']"
7,Fabio Oppo,3,2022-08-23 11:51:28,aplikasi ini sbnernya sngat bagus cma ko klo dibkanya lama loadingnya yah huh,-1,"['aplikasi', 'ini', 'sbnernya', 'sngat', 'bagus', 'cma', 'ko', 'klo', 'dibkanya', 'lama', 'loadingnya', 'yah', 'huh']",<FreqDist with 13 samples and 13 outcomes>,"['aplikasi', 'sbnernya', 'sngat', 'bagus', 'cma', 'ko', 'dibkanya', 'loadingnya']","['aplikasi', 'sbnernya', 'sngat', 'bagus', 'cma', 'ko', 'dibkanya', 'loadingnya']","['aplikasi', 'sbnernya', 'sngat', 'bagus', 'cma', 'ko', 'dibkanya', 'loadingnya']"
8,Deviz All Style,5,2022-08-23 11:49:27,aplikasi yang bagus semua dapat di lakukan dalam aplikasi myindihome terbaik,1,"['aplikasi', 'yang', 'bagus', 'semua', 'dapat', 'di', 'lakukan', 'dalam', 'aplikasi', 'myindihome', 'terbaik']",<FreqDist with 10 samples and 11 outcomes>,"['aplikasi', 'bagus', 'lakukan', 'aplikasi', 'myindihome', 'terbaik']","['aplikasi', 'bagus', 'lakukan', 'aplikasi', 'myindihome', 'terbaik']","['aplikasi', 'bagus', 'laku', 'aplikasi', 'myindihome', 'baik']"
9,supri adi,5,2022-08-23 11:05:39,indihome ok cuma kadang sering ada gangguan jaringan los,1,"['indihome', 'ok', 'cuma', 'kadang', 'sering', 'ada', 'gangguan', 'jaringan', 'los']",<FreqDist with 9 samples and 9 outcomes>,"['indihome', 'kadang', 'gangguan', 'jaringan', 'los']","['indihome', 'kadang', 'gangguan', 'jaringan', 'los']","['indihome', 'kadang', 'ganggu', 'jaring', 'los']"
