content,sentiment
data indihome bocor diem bae  wifi rusak sinyal ga dpt malah disuruh restart modem  ngasih solusi tapi berasa ngomong kyk robot  batu semua karyawan nya  tapi klo soal harga naik  gembar gembornya ga main main ,-1
kalo laporan gangguan tau2 laporan di aplikasi udah selesai  padahal teknisi ga ada yang datang satu pun ,-1
setelah update  tidak bisa dibuka  kode verifikasi juga error terus,-1
untung belum langganan  baru download aplikasinya saja udah se jelek ini   ,-1
error  tidak bisa masuk akun alasan peningkatan pelayanan,-1
awal pasang internetnya ngebut bgt  buat apa pun lancar  tp cuma awalnya aja  lama2 lelet bgt  dikit2 gangguan  aplikasi my indihome jg sering gak bisa dibuka  dikit2 peningkata pelayanan  tp kok gak ada peningkatan,-1
apa aplikasi ini masih berguna kenapa saya login untuk pengaduan internet yang tidak berfungsi malah tidak bisa saya sudah membayar tapi internet tidak bisa di gunakan,-1
aplikasi yang tidak berjalan sebagaimana mestinya  diminta update password tapi kode otp nya tidak bisa digunakan sama sekali  baik melalui wa atau sms semua kode nya eror  tolong diperbaiki kekeliruan ini ,-1
ga ada updatan sama sekali  dan skrng ga bisa di akses  aplikasi macam apa inj,-1
lelet buka isolirnya jika terlambat bayar atau bayar pas tanggal    status myindihome tagihan sdh terbayar atau tunggakan 0  tapi dibawahnya tertera  segera lunasi tunggakan  anda sehat     bagaimana nih sistem informasinya  apa masih pake cek manual satu2 pake excel  perusahaan digital yg katanya terbesar masih unreal time ,-1
setelah update malah tdk bisa kebuka jaringan sering lag padhl pembayaran tdk pernah ngaret alias sll tpt wkt    ,-1
katanya password buat login kadaluarsa  suruh ganti tapi pas diganti malah kesalahan jaringan teruss   maunya gimana sihhh   ,-1
versi baru kurang bagus masih lebih bagus versi lama  utk versi lama sdh lengkap dan versi baru sya yakin pengguna lbh bnyk suka yg lama  maaf kami selama ini gk pernah dpt poin gmn cara dpatinnya utk pembayaran tdk pernah terlambat ,-1
berbulan bulan ga bisa login di akun sendiri  sudah diupgrade berkali kali dahlah uninstall aja ,-1
selamat malam  saya mau tanya kenapa aplikasinya punya indihome tidak bisa di buka di akses  mohon bantuannya segera lah    ,-1
buka aplikasinya aja lemot  pantes aja jaringan internet telkom super lemot juga  mau bergenti langganan banget sumpah gak betah,-1
mahal doang bayar tagihan nya  perbaikan nya kurang cepat     internet nya lemot jasa   lah,-1
aplikasi nya payah  sering error  sering log out sendiri  sering gak bisa masuk  mau ngecek tagihan aja susah nya minta ampun    udah 4 tahun pake myindihome aplikasi nya gak ada perkembangan   ,-1
apaan di tiba2 minta gnti passwrd krna kadaluarsa  eh stelah gnti malah perbaikian layanan  gajelass banget ni aplikasi  blm lagi klw dh gngguan  jelek amat pelayanan ny,-1
